Tiempo_Simulado(s),Posicion_X,Posicion_Y
0.0500,260.0000,628.0140
0.1000,260.0000,628.0526
0.1500,260.0000,628.1156
0.2000,260.0000,628.2032
0.2500,260.0000,628.3153
0.3000,260.0000,628.4519
0.3500,260.0000,628.6131
0.4000,260.0000,628.7988
0.4500,260.0000,629.0090
0.5000,260.0000,629.2437
0.5500,260.0000,629.5029
0.6000,260.0000,629.7867
0.6500,260.0000,629.9747
0.7000,260.0000,629.9022
0.7500,260.0000,629.8542
0.8000,260.0000,629.8307
0.8500,260.0000,629.8317
0.9000,260.0000,629.8572
0.9500,260.0000,629.9073
1.0000,260.0000,629.9819
1.0500,260.0000,629.9877
1.1000,260.0000,629.9917
1.1500,260.0000,630.0000
1.2000,260.0000,630.0000
1.2500,260.0000,630.0000
1.3000,260.0000,630.0000
1.3500,260.0000,630.0000
1.4000,260.0000,630.0000
1.4500,260.0000,630.0000
1.5000,260.0000,630.0000
1.5500,260.0000,630.0000
1.6000,260.0000,630.0000
1.6500,260.0000,630.0000
1.7000,260.0000,630.0000
1.7500,260.0000,630.0000
1.8000,260.0000,630.0000
1.8500,260.0000,630.0000
1.9000,260.0000,630.0000
1.9500,260.0000,630.0000
2.0000,260.0000,630.0000
2.0500,260.0000,630.0000
2.1000,260.0000,630.0000
2.1500,260.0000,630.0000
2.2000,260.0000,630.0000
2.2500,260.0000,630.0000
2.3000,260.0000,630.0000
2.3500,260.0000,630.0000
2.4000,260.0000,630.0000
2.4500,260.0000,630.0000
2.5000,260.0000,630.0000
2.5500,260.0000,630.0000
2.6000,260.0000,630.0000
2.6500,260.0000,630.0000
2.7000,260.0000,630.0000
2.7500,260.0000,630.0000
2.8000,260.0000,630.0000
2.8500,260.0000,630.0000
2.9000,260.0000,630.0000
2.9500,260.0000,630.0000
3.0000,260.0000,630.0000
3.0500,260.0000,630.0000
3.1000,260.0000,630.0000
3.1500,260.0000,630.0000
3.2000,260.0000,630.0000
3.2500,260.0000,630.0000
3.3000,260.0000,630.0000
3.3500,260.0000,630.0000
3.4000,260.0000,630.0000
3.4500,260.0000,630.0000
